,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,title,publication,author,date,year,month,url,content,class_o,class_t,class_c,o,t,c,df_index
0,0,44196,47043,66205,The prosecutor going after ’El Chapo’ Guzman was ousted in Trump’s US attorney purge,Business Insider,Christopher Woody,2017-03-30,2017.0,3.0,,"’  ’ ’   The ouster of many US district attorneys was expected with the   arrival of President Donald Trump. ’ ”   But Trump’s firing of Preet Bharara, the US attorney for the   Southern District of New York, threw turmoil into the   process. ” ”   Lost amid the furor around Bharara’s dismissal was the   resignation of Robert Capers, who led the attorney’s office for   the Eastern District of New York, based in Brooklyn. ” ”   While Bharara was known for his   Wall Street   prosecutions, the Eastern District has handled a number of   complex offenses  —   since September 11, no US attorney’s office    more terrorism cases. ” ”   In the weeks before Capers’ ouster, his office had begun pursuing      the vaunted Sinaloa cartel kingpin extradited to the US in the   hours before Trump was inaugurated. ” ”   Proceedings in Guzman’s case have been limited to  in a US jail and   his access to visitors and representation. After a February 3   hearing, his next court appearance was . ” ’  ’ ’  ’ ’  ’ ’  ’ ’  ’ ”   Capers’ departure and the arrival of a new US attorney is also   unlikely to extend the expected duration of proceedings against   Guzman  —   who might not start his trial for a year or longer,   Vincent said. ” ’   The process to replace Capers looks set primed for political   intrigue. ’ ’   A number of past and present US prosecutors are reportedly   interested in the job, including  a Fox News personality and   friend of Trump confidant Rudy Giuliani, and  partner at the same law firm as   Giuliani and son of former US Attorney General Michael Mukasey. ’ ’   Trump transition officials  New York Rep. Peter King for   recommendations for certain jobs, like the Brooklyn US Attorney,   and the president is likely to seek input on the selection from   Giuliani. ’ ”   However,  to the New York Daily News, US   senators typically offer recommendations for US attorneys and   federal judgeships. New York’s senators, Chuck Schumer and   Kirsten Gillibrand, are both Democrats. ” ’The ouster of many US district attorneys was. ..’ ’’ ’’ ’’",0,0,0,0,0,0,0
1,1,18232,18234,36975,"Cruz: Trump Parachutes In Like Mick Jagger, Gives A Performance and Leaves - Breitbart",Breitbart,Pam Key,2016-04-27,2016.0,4.0,,"Wednesday, Republican presidential candidate Sen. Ted Cruz ( ) likened opponent Donald Trump to the Rolling Stones’ Mick Jagger, arguing he likes to “show up at a football stadium, give some performance and then leave” at a press availability in Indianapolis, IN.  Cruz said, “The people of Indiana have good sense. The people of Indiana have good judgment. The people of Indiana I don’t believe are simply going to say Manhattan has spoken. Therefore, we must get behind a New York liberal. I don’t believe the people of Indiana want to do that. And I think anyone who wants to be elected president owes it to the voters to do what I’m doing here. Heidi and I, we are barnstorming the state. We are on a bus tour traveling the state to look voters in the eyes, to answer their questions, to show the humility to subject yourself to the scrutiny of Hoosiers. Donald Trump doesn’t like to do that. Donald Trump likes to parachute in like Mick Jagger show up at a football stadium, give some performance and then leave. Well, this country isn’t a reality show. And if Donald Trump thinks he’s too good to answer questions from the men and women of Indiana, that conveys something. He continued, “It’s now been 48 days since the last Republican debate. 48 days. the Democrats have debated. Hillary Clinton and Bernie Sanders have both demonstrated more humility than Donald Trump in that they have subjected themselves to the scrutiny of the voters. I believe the people of Indiana deserve a debate. I’ve accepted two debate invitations here in Indiana to be hosted here in Indiana to give Hoosiers the chance to compare. to make this choice. I think that is a simple act of respect to the voters. But it’s been 48 days. And I would note, by the way, every time there’s been a debate, whichever network has hosted it, has made millions of dollars. Has anyone noticed that even though the networks stand to lose millions of dollars by not having a debate, that the news is utterly silent on there being no debates? Have you noticed that, that FOX News, CNN, NBC, ABC, CBS, they stand to make millions and yet they do not say a word about the absence of debates. It almost makes you think the network executives are happy with Donald Trump being the   and they know that in a debate he doesn’t have any answers to how you bring jobs back to America. He doesn’t have any answers as to how you keep this country safe. Since the network execs want Hillary Clinton to be the president, they’re perfectly happy not to have a debate, which would generate enormous revenue to them. At the end of the day, this is about the people of Indiana. ” Follow Pam Key On Twitter @pamkeyNEN",0,0,0,0,0,0,1
2,2,26717,80172,121092,"Pence Does What Trump Couldn’t, with Solid Debate",National Review,Alexis Levinson,2016-10-05,2016.0,10.0,"http://www.nationalreview.com/article/440725/vice-presidential-debate-mike-pence-parries-tim-kaine-easily
","Farmville, Va.  —   On Tuesday night, Mike Pence managed to do what Donald Trump could not. In his first and only debate against Democratic vice presidential nominee Tim Kaine, the Indiana governor delivered a calm and   performance. Where Trump, in his first debate last week, came off as maniacal, Pence was cool and collected. Where Trump found himself insulting a former beauty queen and Rosie O’Donnell, Pence stuck to the script. Where Trump veered onto tangents, missing easy opportunities to attack Clinton, Pence did the opposite, turning most questions into opportunities to hit the Democratic ticket.  The result was a performance that left Republican surrogates praising Pence as a better justification for Trump’s candidacy than Trump himself  —   proof that the nominee makes good decisions and surrounds himself with qualified people. Clinton surrogates were quick to point out that Tuesday’s showdown may have done little to help either side. Many Republicans have been vocal about the fact that they feel far more comfortable with Pence than with Trump, and tonight only reinforced that feeling. But both Pence and Kaine found themselves submerged in a sloppy and unsavory affair, from Kaine’s constant interjections to Pence’s untruthful defenses of Trump to moderator Elaine Quijano’s shaky refereeing. The tone was set with the second question of the night, when Quijano asked Kaine why the majority of Americans believe Clinton is untrustworthy. After briefly discussing Clinton’s “passion” for working with children, Kaine pivoted to highlight Trump’s infamous comment about illegal Mexican immigrants being “rapists” and “murderers,” before concluding that he “can’t imagine” how Pence would defend such remarks. Pence responded first by saying that Clinton had overseen a failed foreign policy that had emboldened adversaries such as Russia. He was then interrupted by Kaine, who took the opportunity to argue that the GOP ticket “loves” Vladimir Putin. When Pence continued on to tout his running mate’s “business acumen,” Kaine interrupted to point out that Trump paid few taxes and lost nearly $1 billion in 1995. When Pence turned to the Clinton Foundation, Kaine began talking over him. Rinse and repeat. There were no blockbuster,    moments to remember. But perhaps the most lasting impression from the night will be of a contrast in style. Kaine, as Clinton spokeswoman Karen Finney said after the debate, did what   nominees are expected to do: “I don’t like the phrase ‘attack dog,’ but your job is to stand up for your running mate. ” It was a role in which the Virginian, known for his    affability, appeared to be uncomfortable and rather ineffective. “I thought Tim Kaine sounded a little silly and frankly sounded like he needed maybe three fewer cups of coffee, cause he sounded a little too animated there, a little bit too like a yapping puppy dog at someone’s ankle. Someone needs to calm him down,” said Representative Jeb Hensarling, a friend of Pence’s who was in the spin room for him. Meanwhile, Pence, the onetime radio host, was measured and steady throughout, shaking his head and delivering his attacks with a smile on his face. He   jabbed Kaine for his mechanically rehearsed   and   dumps. Clinton campaign surrogates, spinning after the debate, made only   attempts to argue that their man had won. Instead, they said, Pence had failed to do enough to change the narrative that emerged from Trump’s problematic first debate. “I think the VP debate matters in the sense that if you are losing, like Trump and Pence did, you need to change the trajectory of the campaign by some means, and they weren’t able to do that. So I think that’s a victory for the Clinton team,” said Representative Ruben Gallego, who was in the spin room as a surrogate for Kaine. That is not to say Kaine was without strong moments. His greatest success was to doggedly prosecute Trump’s record of offending various groups  —   from women to veterans to minorities  —   and aggressively goad Pence into defending them. “I can’t imagine how you defend your running mate’s position,” he repeatedly told Pence. Kaine’s persistence paid off on several occasions, most notably when Pence denied that both he and Trump had said Putin is a better leader than President Obama. But Pence’s strategy, for the most part, was to deflect such attacks rather than tackle them head on. Quite often, Pence seemed to be blissfully campaigning in an alternate universe from the one Trump inhabits. He repeatedly described the   campaign as “” a laughable remark coming from someone whose running mate has made an art of the insult over the course of this campaign. Other times, he simply ignored Kaine’s calls to defend Trump. Much had been made of the fact that this would be the first debate since the New York Times published a year of Trump’s tax returns, making Pence the first line of defense against a story that could be very bad for the Republican nominee. Pence said some kind words about his running mate as a businessman who complied with the tax code. And then he declined to address the subject again. “Why won’t he release his tax returns?” Kaine blurted out at one point. “Well, we’re answering a question about the business thing,” Pence replied calmly, brushing off the question. When Kaine brought up Gonzalo Curiel, a   federal judge from Pence’s home state of Indiana whom Trump deemed too biased to rule in a lawsuit against Trump University because of his Mexican heritage, Pence simply ignored the remark and moved on. More Mike Pence Get Ready for the Pillorying of PenceMr. Vice President: Please Help the President Get His Act TogetherNotre Dame Students Feel ‘Unsafe’ about Mike Pence SpeakingPence’s strategy of moving the conversation to safer ground earned him style points and credit for staying on message, but it also opened him up to easy attacks from Clinton’s camp. “Why is it that Mike Pence can’t defend his own running mate? Maybe he doesn’t know who his own running mate is,” suggested Clinton spokeswoman Karen Finney following the debate. It was evident in the spin room that Pence had reassured Republicans who remain    with the party’s nominee. But for the Indiana governor, who harbors presidential ambitions of his own, Trump could prove somewhat problematic down the road. At one point, he declared that he “could not be more proud to stand with Donald Trump. ” Should Hillary Clinton win in November, Pence will undoubtedly find himself in the top tier of prospective Republican candidates to challenge her four years from now, and that is a comment that may well come back to haunt him.,",0,0,0,0,0,0,2
3,3,11538,64859,87994,Marine Le Pen Turns Up At Trump Tower,Talking Points Memo,Matt Shuham,,,,"https://web.archive.org/web/20170113001026/http://talkingpointsmemo.com/livewire/marine-le-pen-trump-tower
","  French politician Marine Le Pen was spotted Thursday morning inside Trump Tower with the   of Citizens for Trump, an independent group backing the  . Transition pool reporters first spotted Le Pen, the leader of the French political party National Front, on Trump Tower’s ground floor. A subsequent pool report identified the man sitting to Le Pen’s right as Guido “George” Lombardi, who the Citizens for Trump website describes as “  National Liaison, Press Correspondent. ” Citizens for Trump later confirmed on its Facebook page that Lombardi had met with Le Pen.  Trump transition spokeswoman Hope Hicks told a pool reporter Le Pan was ”not meeting with anyone from our team.” Incoming White House press secretary Sean Spicer also told CNN’s Noah Gray that Le Pen was not scheduled to meet with Trump or anyone on his transition team. ”Trump Tower is open to the public,” he added, according to Gray. Le Pen’s chief of staff told Bloomberg Politics that she had traveling in a private capacity to New York City. Lombardi lives in Trump Tower, and was described in a Politico Europe article last year as “Trump’s European fixer. ”  Le Pen is an enthusiastic supporter of Trump’s, saying in September, ”We are similar because we are not part of the establishment, we are not part of the system, and we do not depend on anybody and we don’t take orders from anyone. ” In November, she sent congratulations to Trump “and to the free American people!” on his electoral victory. Pool reporter Samuel Levine snapped a couple of photos of Le Pen: ",0,0,0,0,0,0,3
4,4,30510,83969,126237,Trump blames military for SEAL’s death,New York Post,Bob Fredericks,2017-02-28,2017.0,2.0,"https://web.archive.org/web/20170301002735/http://nypost.com/2017/02/28/trump-blames-military-for-botched-raid-that-killed-seal/
","In the Trump administration, the buck apparently stops anywhere but the Oval Office. President Trump on Tuesday blamed the military for   a Navy SEAL who was killed in  .  the    repeatedly said “they”  —   meaning the military  —   were at fault for the death of Owens, whose dad, Bill, refused to appear with Trump when his son’s body was returned to the US. “This was a mission that was started before I got here. This was something they wanted to do,” Trump said. “They came to me, they explained what they wanted to do. The generals  —   who are very respected, my generals are the most respected that we’ve had in many decades, I believe. And they lost Ryan,” he added. “This was something that they were looking at for a long time doing, and according to [Defense Secretary Jim] Mattis, it was a very successful mission. They got tremendous amounts of information. ” Trump said he could understand why Bill Owens  —      —   would not want to meet with him. “I can understand people saying that. I’d feel  —   ‘What’s worse?’ There’s nothing worse,” he added. Owens had blasted Trump for authorizing the raid barely a week into his presidency. “Why at this time did there have to be this stupid mission when it wasn’t even barely a week into his administration,” he told the Miami Herald. While Trump and White House spokesman Sean Spicer have repeatedly called the operation a roaring success, US officials   on Monday that  . In addition to Owens, 25 civilians, including women and children, were killed, as were numerous terrorists. Four other Americans were wounded and a $70 million Bell transport helicopter was lost. Sen. John McCain ( .) had also questioned whether the mission was a success  —   prompting a predictably vituperative   from the president. “Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He’s been losing so long he doesn’t know how to win anymore, just look at the mess our country is in  —   bogged down in conflict all over the place. Our hero Ryan died on a winning mission (according to General Mattis) not a ‘failure.’ Time for the U. S. to get smart and start winning again!” Trump crowed in a series of three   tweets on Feb. 9. Presidents historically accept responsibility for their decisions, with President Harry Truman famously plopping a sign reading “The Buck Stops Here” on his desk in the Oval Office. Presidents John Kennedy, Ronald Reagan, George H. W. Bush, George W. Bush and Barack Obama all adhered to that dictate when crises struck. “I’m the president. And I’m always responsible,” Obama said after an attack on a US consulate in Benghazi in which four Americans, including the US ambassador, were murdered.",0,0,0,0,0,0,4
5,5,7722,61041,83406,"Clinton, Sanders do battle in Maine, then move on to Michigan",Fox News,,2016-03-06,2016.0,3.0,"https://web.archive.org/web/20160306220058/http://www.foxnews.com/politics/2016/03/06/clinton-sanders-do-battle-in-maine-then-move-on-to-michigan.html
"," Maine voters are going to caucus sites Sunday in large numbers, as predicted, to choose between Democratic presidential candidates Sen. Bernie Sanders and   Hillary Clinton, after they split wins in earlier voting this weekend. Long lines are forming at some of the roughly 400 sites across the state, where Clinton and the Vermont senator will compete for 25 delegates. On Saturday, Sanders won the Nebraska and Kansas caucuses, while Clinton took the bigger Louisiana primary, increasing her delegate count over Sanders 1, 121 to 481. That includes superdelegates    members of Congress, governors and party officials who can support the candidate of their choice. It takes 2, 383 delegates to win the nomination. Limited polling is available in Maine, where the polls will close at about the time Clinton and Sanders take part in a live CNN debate in Michigan. To be sure, both are already focusing on Michigan, which in Tuesday’s primary also has 25 Democratic delegates up for grabs. Clinton has a   lead in the state, according to a RealClearPolitics poll average.   The economy will likely be a major topic in the debate in Flint, Mich.    a city in tough shape long before residents learned their drinking water was tainted with lead. Clinton will likely argue that only she has a ”credible strategy” for raising wages, while Sanders will presumably attack Clinton for past support of trade deals that he says had ”disastrous” consequences for American workers. In recent days, Clinton has laid out a plan for a ”clawback” of tax benefits for companies that ship jobs overseas, using the money to encourage investment in the United States. Sanders wrote in Sunday’s Detroit Free Press that nowhere are his differences with Clinton, a former secretary of state and senator, stronger than on trade. He also renewed his criticism of Clinton’s support for the North American Free Trade Agreement and normalized trade relations with China. ”Not only did I vote against them,” he said, ”I stood with workers on picket lines in opposition to them. Meanwhile, Secretary Clinton sided with corporate America and supported almost all of them.” With Clinton continuing to widen her considerable lead in the Democratic delegate count, Sanders sees upcoming Midwestern primaries as a crucial opportunity to slow her momentum by highlighting his trade policies. After Michigan’s vote on Tuesday, the March 15 primaries include Ohio, Illinois and Missouri. “Geographically, we’re looking good,” Sanders said Sunday on ABC’s “This Week. ” “We have a path. ” Sanders acknowledged that his campaign has yet to connect with   voters, which hurt in him badly in his South Carolina loss last month to Clinton. However, he argued that his insurgent campaign, based largely on a promise of economic equality and prosperity for the underclass, is making headway among young black voters. “I think you’re going to see those numbers change,” Sanders told ABC.   In Michigan, manufacturing jobs have rebounded from the depths of the Great Recession, but their numbers are still much lower than they were 20 years ago. The Associated Press contributed to this report.     ",0,0,0,0,0,0,5
6,6,14791,68199,95924,Bernie Sanders Defeats Hillary Clinton In New Hampshire,Talking Points Memo,,2016-02-10,2016.0,2.0,"https://web.archive.org/web/20160210081700/http://talkingpointsmemo.com/dc/sanders-clinton-new-hampshire-primary
","Sen. Bernie Sanders ( ) is the winner in the New Hampshire primary, besting former Secretary of State Hillary Clinton. News networks called the race for Sanders as soon as all the polls closed at 8 p. m. In his victory speech, Sanders declared his win in New Hampshire, coupled with his strong showing in Iowa, ”nothing short of the beginning of a political revolution.” ”The people of New Hampshire have sent a profound message to the political establishment,  to the economic establishment and to, by the way, the media establishment,” Sanders said. ”What the people here have said is that, given the enormous crises facing our country, it is just too late for the same old, same old establishment politics and establishment economics. The people want real change.” It’s no surprise Sanders won the state, where he had held a large lead in the polls for weeks. Sanders eclipsed Clinton in New Hampshire polls months ago. Going into election day, he was leading Clinton 55 percent to 40 percent in the TPM PollTracker Average. In recent weeks, the Clinton campaign characterized his popularity in the state as being product of his representation of a neighboring state. But his victory is nonetheless a setback for Clinton, who scored an upset over then Sen. Barack Obama in the state in 2008’s presidential race. It also comes after Clinton was barely able to eke out a win in Iowa, where she had invested a heavy ground game, perhaps to the disadvantage of her campaign operation in New Hampshire, The pressure is now on Clinton to reassert control of the race in the next Democratic 2016 states, Feb. 20th’s Nevada caucus and the Feb. 27 South Carolina primary that follows. In those places, and in the Southern states that hold their primaries in March, the Clinton campaign has argued that relatively high portions of minority voters will bulwark her against Sanders’ momentum in the mostly white Iowa and New Hampshire. ”I know there are those who want to deny the passion and the purpose you all show every day for this campaign,” Clinton said in her concession speech Tuesday. ”But you are the reason we are here and you are the reason we are going to win the nomination and then win this election together.”  The Clinton campaign circulated also a memo written by campaign manager Robby Mook almost immediately after the results were projected, stressing the importance of the March primary states, where a majority of the delegates needed to win the nomination are allotted. The memo argued Clinton, given the states’ demographics and her ground game, was   to sweep up the nomination then. Early exit polls pointed to Sanders outperforming Clinton among voters 30 and younger. His campaign has had an appeal among the youth vote throughout much of the race, but recent comments by Clinton surrogates Gloria Steinem and Madeleine Albright scolding young women for favoring Sanders further antagonized her relationship with young people. Exit polls also suggested a larger portion of “liberal voters” in this primary than in 2008, when Clinton was victorious.  In the days leading up to the primary, the Clinton campaign amped up its attacks on Sanders. Her husband, former President Bill Clinton, slammed him in recent speeches, while Clinton sharpened her criticisms of Sanders in last week’s debate. The efforts, however, were not enough to overcome Sanders’ overwhelming lead in the state. Tierney Sneed is a reporter for Talking Points Memo. She previously worked for U. S. News and World Report. She grew up in Florida and attended Georgetown University.",0,0,0,0,0,0,6
7,7,41427,144889,216596,Fox News apologizes for falsely reporting that Clinton faces indictment,Washington Post,Paul Farhi,2016-11-04,2016.0,11.0,"https://web.archive.org/web/20161105000920/https://www.washingtonpost.com/lifestyle/style/fox-news-apologizes-for-falsely-reporting-that-clinton-faces-indictment/2016/11/04/8fd56f20-a2b7-11e6-8d63-3e0a660f1f04_story.html
"," Fox News anchor Bret Baier apologized Friday for reporting that federal investigators had determined that Hillary Clinton’s private email server had been hacked and that an investigation would lead to an indictment of Clinton after the election. In fact, Baier said, after checking with his sources, there is no evidence at this time for either statement. Baier, the anchor of Fox’s evening newscast “Special Report,” went on the air Wednesday to report that the FBI had determined that Clinton’s private server, which she used while serving as secretary of state, had been hacked by “five foreign intelligence agencies. ” He further said on Thursday, during an interview with Fox’s Brit Hume, that a separate FBI investigation  —   of the charitable Clinton Foundation  —   was “likely” to lead to an indictment of Clinton after Tuesday’s election. Both statements, if true, would be explosive developments in the late stages of the presidential campaign between Clinton and Republican rival Donald Trump. Trump has repeatedly invoked the alleged atmosphere of corruption around the Clinton Foundation and the security risks involved in Clinton’s use of a private server while secretary of state as reasons not to vote for Clinton.     The Post’s Rosalind Helderman breaks down the latest developments of the controversies involving the FBI less than a week from Election Day. (Bastien   Washington Post)   But neither of his reports about Clinton were accurate, Baier acknowledged Friday morning in a “Fox News alert” conversation with Fox News anchor Jon Scott. Baier said he relied on a single anonymous source within the FBI for his report about an alleged hack of the server: “I was quoting from one source about his certainty that the server had been hacked by five foreign intelligence agencies. . . . As of today there still are no digital fingerprints of a breach, no matter what the working assumption is within the bureau. ” He added, “All the time, but especially in a heated election, on a topic this explosive, every word matters no matter how well sourced. ” He went on to describe his comment to Hume about an indictment  —   which he has previously called “inartful”  —   as more than that. “I explained the phrasing of one my answers to Brit Hume on Wednesday night, saying it was inartful the way I answered the last question about whether the investigations would continue after the election. And I answered that yes, our sources said it would, they would continue to, likely, an indictment. “Well, that wasn’t just inartful. It was a mistake. And for that I’m sorry. I should have said they will continue to build their case. “‘Indictment,’ obviously, is a very loaded word, Jon, especially in this atmosphere, and no one knows if there would or would not be an indictment no matter how strong investigators feel their evidence is. It’s obviously a prosecutor who has to agree to take the case and make that case to a grand jury. ” As an addendum, he added, “We stand by the sourcing on the ongoing, active Clinton Foundation investigation and are working to get sources with knowledge of the details on the record and on camera, hopefully today. ” ",0,0,0,0,0,0,7
8,8,42577,96036,141972,NYPD working on security plan in case Trump wins election,New York Post,Tina Moore,2016-10-24,2016.0,10.0,http://nypost.com/2016/10/24/nypd-working-on-security-plan-in-case-trump-wins-election/,"Donald Trump may be losing in the polls, but the NYPD is still preparing for the possibility of a win. Police brass are huddling with the Secret Service to come up with a security plan in case the Donald wins the White House  —   and uses his Manhattan pad as a weekend getaway. “That presents a lot of challenges, but we are in talks with the Secret Service to develop a plan to accommodate that situation if it does come about,” NYPD Commissioner James O’Neill said Monday. Trump and his wife, Melania, live in an opulent penthouse at the Trump Tower on Fifth Avenue. The couple occupy the top three floors of the building, with views of Central Park and Manhattan. Trump also has a mansion on Rodeo Drive in Beverly Hills, a   property in Charlottesville, Virginia, and the    Country Club in Palm Beach, Florida, a hotel.",0,0,0,0,0,0,8
9,9,17132,17133,35871,James Woolsey: Trump Should Have Hammered Clinton on Her ‘Devastating’ Record as Secretary of State,Breitbart,John Hayward,2016-09-27,2016.0,9.0,,"James Woolsey, former CIA director during the Clinton administration, currently a senior adviser to Donald Trump’s presidential campaign, joined Breitbart News Daily with SiriusXM host Alex Marlow to talk about the “Securing America” segment of Monday night’s presidential debate. [Woolsey began by discussing his political evolution, cheerfully taking issue with Marlow’s description of him as a   “Clintonista”: “Well, I haven’t been an ‘ ’ of anything, except over the decades, I called myself a Scoop   Lieberman Democrat,” he said, acknowledging that “there aren’t many of us left. ”  Woolsey said: I’ve served four presidents, had presidential appointments in four administrations, two Republican and two Democratic: Reagan, Bush I, Carter, and Clinton. I work in the national security area, and I think it’s important to serve the government, and have the government do the right things if you can help them in those areas. For me, politics  —   in a very   way  —   kind of stops at the water’s edge. He added, “But we’re in a very complex and difficult situation now, I think, and although I advise the Trump campaign on national security matters, obviously if I’m an adviser, I’ll get into some of these other issues a bit, too. ” He said he thought Trump did a good job on dissecting the Iran nuclear deal: He’s right, absolutely, I think on the issue. This is as bad as international agreements get. It’s not even really an agreement in which there’s   and compromises, and you get it written down, and everybody agrees you’ve got to follow it.  That’s not what the Iranians do at all. They’re into humiliation. Their purpose is to look dominant. They have no intention of following the words of the treaty, and they are not. The Obama administration has made it easy for them to profit hugely by getting the money that was sequestered as part of their other activities, supporting terrorism, and the like. So I think Trump was right on, on this one. He seemed to be   and I don’t think Hillary Clinton did a good job at answering it. Woolsey said Trump made an “excellent point” about Clinton and Obama perpetually telegraphing their   strategies to the Islamic State and other enemies: It may not have been optimally applied in this particular discussion, but he’s on to something that the Obama administration and its State Department under Hillary [have] done very badly, which is ignore the substance and be the slave of the narrative.  They fiddle around with the facts, in order to make them fit into their narrative, rather than seeing what reality is, and changing their story to comport with reality if they have to. I think that Trump raised that overall issue well, in terms of not disclosing everything that you are doing, just in order to get good PR. Within hours of bin Laden having been killed, they had people out backgrounding on how they had tricked the guards this way and how they’d done that way.  That’s just ridiculous. That’s a terrible idea. Churchill says in war, truth is always so important that it must be protected by a bodyguard of lies. They don’t protect it at all. Marlow asked if Trump did an adequate job of forcing Clinton to defend her record as secretary of state and senator. Woolsey replied that Trump “raised that spectrum of issues, but didn’t really stay with it, as long as I think it would have been a good idea. ” “It would have been better to have spent a number of minutes, and continuing to hammer on that,” he suggested, adding: When you’re hammering on something in a debate, you don’t have to growl. You can, as T. R. says, speak softly and carry a big stick. You can politely smile and raise these devastating issues about how badly she has done things, with respect to security, and her communications systems, and the works. I would have liked to have seen us stay on that one longer. Woolsey looked forward to the next debate occurring in the national security field, where he thought it was important for Trump to “get people to understand that under the Obama administration, we have let our military deteriorate badly, in terms of their readiness, in terms of the quality of their equipment, in terms of their training”: Sequestration has just done devastating things to that, so one of the things you’ve got to do is refurbish the military, and do that right. Then, also, our nuclear establishment, which has to be dealt with very carefully and very thoroughly, has been neglected. Obama hates nuclear weapons, and he doesn’t want to spend any money on trying to maintain them, so our nuclear stockpile really requires some attention. And then, finally, it’s something I think could be said and discussed to Hillary’s disadvantage, which is that you now have Russian leaders, including senior generals, talking about what they call a “no con,” the next war will be a “no contact” war. What they mean by that is that it will not be contact between shrapnel and humans. There will not be that kind of contact much. It will be a war of electronics, of hacking, of electromagnetic pulse detonations in the stratosphere, destroying people’s equipment, and so forth, and so forth. It’s a different world, and trying to deal with it the way the Obama administration has is like being in 1914 and figuring that everything from now on is just gonna be rifles. There’s never gonna be a next World War One, and then Two, and tanks, and blitzkriegs, and so forth. We’ve got a lot to make up for a neglected past. We have got a lot to do in this new world of what the Russians call   war. I don’t think this is an area Hillary is comfortable in, and I think Trump inherently understands it. He needs to confidently talk about some of these issues and give people the  —   I think accurate  —   perception that he would be a good leader in a crisis, or in a serious mess of some kind, because he’s dealt with them all his life. And Hillary would not. Breitbart News Daily airs on SiriusXM Patriot 125 weekdays from 6:00 a. m. to 9:00 a. m. Eastern. LISTEN: ",0,0,0,0,0,0,9
